Total_votes,hate_speech,offensive_language,neither,class,comments
3,0,0,3,2,rt mayasolovely woman shouldnt complain cleaning house amp man always take trash
3,0,3,0,1,rt mleew boy dats coldtyga dwn bad cuffin dat hoe st place
3,0,3,0,1,rt urkindofbrand dawg rt sbabylife ever fuck bitch start cry confused shit
3,0,2,1,1,rt c_g_anderson viva_based look like tranny
6,0,6,0,1,rt shenikaroberts shit hear might true might faker bitch told ya
3,1,2,0,1,t_madison_x shit blows meclaim faithful somebody still fucking hoes
3,0,3,0,1,__brighterdays sit hate another bitch got much shit going
3,0,3,0,1,selfiequeenbri cause im tired big bitches coming us skinny girls
3,0,3,0,1,amp might get ya bitch back amp thats
3,1,2,0,1,rhythmixx_ hobbies include fighting mariam bitch
3,0,3,0,1,keeks bitch curves everyone lol walked conversation like smh
3,0,3,0,1,murda gang bitch gang land
3,0,2,1,1,hoes smoke losers yea go ig
3,0,3,0,1,bad bitches thing like
3,1,2,0,1,bitch get
3,0,3,0,1,bitch nigga miss
3,0,3,0,1,bitch plz whatever
3,1,2,0,1,bitch love
3,0,3,0,1,bitches get cut everyday b
3,0,3,0,1,black bottle amp bad bitch
3,0,3,0,1,broke bitch cant tell nothing
3,0,3,0,1,cancel bitch like nino
3,0,3,0,1,cant see hoes wont change
3,0,3,0,1,fuck bitch dont even suck dick kermit videos bout fuck ig
3,0,3,0,1,got ya bitch tip toeing hardwood floors
3,0,2,1,1,pussy lips like heaven doors
3,0,3,0,1,hoe hitting
3,0,3,0,1,met pussy ocean dr gave pussy pill
3,0,3,0,1,need trippy bitch fuck hennessy
3,0,3,0,1,spend money want bitch business
3,0,3,0,1,txt old bitch new bitch pussy wetter
3,0,3,0,1,id say im back old old bitches would get excited
3,0,3,0,1,aint bout murder game pussy nigga shut
3,0,3,0,1,youre toes aint done pussy stinks
3,0,3,0,1,im done bitter bitches wrap angry bird theres app
3,0,3,0,1,ya bitch
3,0,3,0,1,aint nothing cut bitch
3,0,3,0,1,jus meet son ya mane ass bitches shots
3,0,2,1,1,lames crying hoes thats tears clown
3,0,3,0,1,like snoop said dont love hoes
3,0,1,2,2,momma said pussy cats inside doghouse
3,0,3,0,1,hated hoes favorite mw sevenone
3,0,3,0,1,nice girls bad make get naughty bad yello hoe real nice body south chick like em real thick
3,0,3,0,1,pimps pimps hoes future voice
3,0,3,0,1,post picture pussy get likes
3,0,3,0,1,pussy powerful drug happyhumpday
3,0,3,0,1,quick piece pussy call drive
3,0,3,0,1,running round like brand new pussy thats bout get fucked
3,0,3,0,1,bitches even worst theyll send guys
3,1,2,0,1,hoes like niggas spend money talk bout
3,1,2,0,1,dont trust niggas bitches
3,0,3,0,1,yall niggas b cuffing hoes cause yall aint never bitches
3,0,3,0,1,dodge bullet darealkha da bitches cut pregnant bound thank god
3,0,3,0,1,young pill chamberlain bitches love music
3,0,2,1,1,vandalsavage_ teanna trump probably cleaner twitter hoes
3,0,3,0,1,dahomiefuzz gay niggas couldnt wait act like bitches tonight
3,0,3,0,1,the_paradox ima steal cat n replace pitbull rt sbabylife the_paradox bitch
3,0,3,0,1,amp hes gone always hoe
3,0,3,0,1,son bitch took tic tacs like movie
3,0,3,0,1,wan na get money fuck model bitches russell simmons
3,0,2,1,1,seniorprobs probably wouldnt mind school much didnt deal bitch ass teachers retweet
3,0,3,0,1,axdemery im fucking fag said
3,0,3,0,1,arizzleindacut females think dating pussy cute stuff make pussy
3,0,0,3,2,addictedguys simplyaddictedtoguys woof woof hot scally lad
3,0,3,0,1,adorebellaaa ya ever asked bitch bitches kanye voice yes
3,0,3,0,1,adorezoey u gone bring ur side bitch game know ya gf friends swear
3,0,1,2,2,allaboutmanfeet woof woof hot soles
3,0,1,2,2,allyhaaaaa lemmie eat oreo amp dishes one oreo lol
3,0,3,0,1,almightywayne__ jetsandaswisher gook____ bitch fuck u maybe youll get better
3,1,2,0,1,almightywayne__ fuck red malone man bitch ass niggah could please use complete sentences
3,0,0,3,2,arizonasfinest eggplant emoji doey say looked like scream lmao
3,0,3,0,1,autoworid hennessey venom gt thats one sexy bitch
3,0,3,0,1,bossbytchh seh pussy wetter shower curtainahmesehwetnessltlmao
3,0,3,0,1,bro_hen eaglesnation every eagles need see pic posted bitch said racist shit
3,1,2,0,1,bvsedchink yo fuck skateboarding yall wood pushing faggots man ball life amjemiebenn
3,0,1,2,2,babyanimalpics baby monkey bathtime soooo adorable
3,0,3,0,1,baylaagottabody aint shit damn skippy lol
3,1,2,0,1,beeasyjrizzy u ever kill ant sidewalk think damn nigga way get pussyno bs must b gtchance
3,0,3,0,1,beenbasedb _kudabrazyy rings mvps bitches lol
3,1,2,0,1,beenflynsolo ppl talk bad ghettohood kid growing nigga funnnnnnn
9,0,7,2,1,bestproadvice facts tattoostattoo hes pussy tattooing nipples
3,0,3,0,1,bill_ rt nel_ayden bitches wanting act like niggas bad shit aint cuteeeee niggas act like bitches
3,0,3,0,1,bitchjones get worshiping bitch woof woof
3,1,2,0,1,blackchiquitita wow rt thatmanpalmer im lost buttcheek piercings yeah shes hoe
3,0,3,0,1,blacknerdjade ok sis shed rather broke bitch shrugs shell tell works
3,2,1,0,0,blackmantide whalelookyhere howdydowdy queer gaywad
3,0,3,0,1,brokenpiecesmsc itsnotadam faggot read tweets dat k wasnt even funny lol
3,0,3,0,1,brosconfessions bitch ungrateful fr lulwhore
3,0,3,0,1,cashandboobies kidnapped yo bitch
3,3,0,0,0,cb_baby white_thunduh alsarabsss hes beaner smh tell hes mexican
3,1,2,0,1,ccobey aydanmccoy happy birthday nigs thanks yo
6,1,5,0,1,chlldhoodruiner ur teacher tells u u homework bitch need go
3,1,2,0,1,caelang edham caelang nigga eating hoe lol hell yea lol john paul nigga said john paul
3,0,3,0,1,canifuckornah would yall lil ugly bald headed bitches stop making makeup amp weave
3,1,2,0,1,carelessone leafs better win damn game go riot shit earlychristmas better start looting nig
3,0,3,0,1,causewereguys going back school sucks dick hoes attend
3,0,3,0,1,causewereguys way fuck yo bitch year old
3,0,3,0,1,celeynichole white_thunduh come never bring food dont car retard
3,0,3,0,1,chadmfverbeck richnow doesnt show hella tinder hoes im friend anymore chill brought like like prople
3,1,2,0,1,chandlerparsons bout cowboys shutup pussy
