Total_votes,hate_speech,offensive_language,neither,class,comments
3,0,0,3,2,rt mayasolovely woman shouldnt complain cleaning house amp man always take trash
3,0,3,0,1,rt mleew boy dat coldtyga dwn bad cuffin dat hoe st place
3,0,3,0,1,rt urkindofbrand dawg rt sbabylife ever fuck bitch start cry confused shit
3,0,2,1,1,rt c_g_anderson viva_based look like tranny
6,0,6,0,1,rt shenikaroberts shit hear might true might faker bitch told ya
3,1,2,0,1,t_madison_x shit blow meclaim faithful somebody still fucking hoe
3,0,3,0,1,__brighterdays sit hate another bitch got much shit going
3,0,3,0,1,selfiequeenbri cause im tired big bitch coming u skinny girl
3,0,3,0,1,amp might get ya bitch back amp thats
3,1,2,0,1,rhythmixx_ hobby include fighting mariam bitch
3,0,3,0,1,keeks bitch curve everyone lol walked conversation like smh
3,0,3,0,1,murda gang bitch gang land
3,0,2,1,1,hoe smoke loser yea go ig
3,0,3,0,1,bad bitch thing like
3,1,2,0,1,bitch get
3,0,3,0,1,bitch nigga miss
3,0,3,0,1,bitch plz whatever
3,1,2,0,1,bitch love
3,0,3,0,1,bitch get cut everyday b
3,0,3,0,1,black bottle amp bad bitch
3,0,3,0,1,broke bitch cant tell nothing
3,0,3,0,1,cancel bitch like nino
3,0,3,0,1,cant see hoe wont change
3,0,3,0,1,fuck bitch dont even suck dick kermit video bout fuck ig
3,0,3,0,1,got ya bitch tip toeing hardwood floor
3,0,2,1,1,pussy lip like heaven door
3,0,3,0,1,hoe hitting
3,0,3,0,1,met pussy ocean dr gave pussy pill
3,0,3,0,1,need trippy bitch fuck hennessy
3,0,3,0,1,spend money want bitch business
3,0,3,0,1,txt old bitch new bitch pussy wetter
3,0,3,0,1,id say im back old old bitch would get excited
3,0,3,0,1,aint bout murder game pussy nigga shut
3,0,3,0,1,youre toe aint done pussy stink
3,0,3,0,1,im done bitter bitch wrap angry bird there app
3,0,3,0,1,ya bitch
3,0,3,0,1,aint nothing cut bitch
3,0,3,0,1,jus meet son ya mane as bitch shot
3,0,2,1,1,lame cry hoe thats tear clown
3,0,3,0,1,like snoop said dont love hoe
3,0,1,2,2,momma said pussy cat inside doghouse
3,0,3,0,1,hated hoe favorite mw sevenone
3,0,3,0,1,nice girl bad make get naughty bad yello hoe real nice body south chick like em real thick
3,0,3,0,1,pimp pimp hoe future voice
3,0,3,0,1,post picture pussy get like
3,0,3,0,1,pussy powerful drug happyhumpday
3,0,3,0,1,quick piece pussy call drive
3,0,3,0,1,running round like brand new pussy thats bout get fucked
3,0,3,0,1,bitch even worst theyll send guy
3,1,2,0,1,hoe like nigga spend money talk bout
3,1,2,0,1,dont trust nigga bitch
3,0,3,0,1,yall nigga b cuffing hoe cause yall aint never bitch
3,0,3,0,1,dodge bullet darealkha da bitch cut pregnant bound thank god
3,0,3,0,1,young pill chamberlain bitch love music
3,0,2,1,1,vandalsavage_ teanna trump probably cleaner twitter hoe
3,0,3,0,1,dahomiefuzz gay nigga couldnt wait act like bitch tonight
3,0,3,0,1,the_paradox ima steal cat n replace pitbull rt sbabylife the_paradox bitch
3,0,3,0,1,amp he gone always hoe
3,0,3,0,1,son bitch took tic tacs like movie
3,0,3,0,1,wan na get money fuck model bitch russell simmons
3,0,2,1,1,seniorprobs probably wouldnt mind school much didnt deal bitch as teacher retweet
3,0,3,0,1,axdemery im fucking fag said
3,0,3,0,1,arizzleindacut female think dating pussy cute stuff make pussy
3,0,0,3,2,addictedguys simplyaddictedtoguys woof woof hot scally lad
3,0,3,0,1,adorebellaaa ya ever asked bitch bitch kanye voice yes
3,0,3,0,1,adorezoey u gone bring ur side bitch game know ya gf friend swear
3,0,1,2,2,allaboutmanfeet woof woof hot sol
3,0,1,2,2,allyhaaaaa lemmie eat oreo amp dish one oreo lol
3,0,3,0,1,almightywayne__ jetsandaswisher gook____ bitch fuck u maybe youll get better
3,1,2,0,1,almightywayne__ fuck red malone man bitch as niggah could please use complete sentence
3,0,0,3,2,arizonasfinest eggplant emoji doey say looked like scream lmao
3,0,3,0,1,autoworid hennessey venom gt thats one sexy bitch
3,0,3,0,1,bossbytchh seh pussy wetter shower curtainahmesehwetnessltlmao
